day,etc_blaney,etc_penman,etc_cropwat
1.0,6.474720000000002,2.9245976859350704,4.919999999999999
2.0,6.7838400000000005,3.5616017935930233,5.88
3.0,6.474720000000002,2.1307960435924462,4.919999999999999
4.0,6.39744,2.4862077200223296,4.932
5.0,6.5520000000000005,1.336484415159653,4.919999999999999
6.0,6.7838400000000005,2.5771931840268163,4.932
7.0,6.3201600000000004,2.2857664215543334,4.9079999999999995
8.0,6.39744,1.5190092180634196,4.896
9.0,6.7065600000000005,3.680059668388583,4.9079999999999995
10.0,6.7838400000000005,3.5987940838075714,4.428
11.0,6.3201600000000004,1.701634918310211,4.296
12.0,6.474720000000002,2.5011182627642947,4.272
13.0,6.7838400000000005,3.2149616889284154,4.56
14.0,6.474720000000002,0.7969409409839678,3.7439999999999998
15.0,6.5520000000000005,2.3601750584472856,3.6959999999999997
16.0,6.474720000000002,1.8312150330123682,4.104
17.0,6.6292800000000005,2.988061549361113,3.024
18.0,6.474720000000002,2.552972403267755,2.892
19.0,6.6292800000000005,2.7137210148311297,3.024
20.0,6.5520000000000005,2.876969598066067,2.988
21.0,6.39744,2.138661490479777,2.904
22.0,6.6292800000000005,2.8092885866183606,3.096
23.0,6.474720000000002,2.5691094639385947,3.0119999999999996
24.0,6.7065600000000005,2.488472092734484,2.868
25.0,6.7065600000000005,2.806562667243108,2.856
26.0,6.39744,1.7248523560957394,2.916
27.0,6.3201600000000004,2.5394891566724787,2.928
28.0,6.6292800000000005,3.0070819470367365,2.844
29.0,6.7838400000000005,3.478362552823441,2.82
30.0,6.7838400000000005,3.6119924040161573,2.94
31.0,7.09296,0.9637907683634096,2.916
32.0,6.39744,2.834815983376828,2.928
33.0,6.7065600000000005,2.7090109588913385,2.916
34.0,6.1656,1.0584645550148246,2.916
35.0,6.3201600000000004,1.6948321467664174,2.664
36.0,6.474720000000002,0.6308675483337811,2.6759999999999997
37.0,6.39744,0.832417383498844,2.796
38.0,6.474720000000002,2.391014769554153,2.796
39.0,6.39744,2.1980537157829914,2.868
40.0,6.7065600000000005,2.0876139451435014,2.868
41.0,6.474720000000002,4.028556525905436,2.868
42.0,6.2428799999999995,2.202398100470863,2.868
43.0,6.39744,1.4863253758174382,2.844
44.0,6.6292800000000005,2.6419681685111214,2.868
45.0,6.08832,0.3175182527972084,2.868
46.0,6.2428799999999995,0.978636259150062,2.832
47.0,6.08832,4.194044796141132,2.868
48.0,6.39744,3.123910616428796,2.868
49.0,6.1656,1.5082301785845436,2.82
50.0,6.5520000000000005,3.0005494029215125,2.868
51.0,6.474720000000002,1.529773180286688,2.856
52.0,6.3201600000000004,3.3424009780174493,2.868
53.0,6.5520000000000005,2.8014336373201028,2.784
54.0,6.474720000000002,3.7079341603469045,2.868
55.0,6.39744,2.9728297655280334,2.856
56.0,6.39744,4.178127072683308,2.868
57.0,5.0064,4.30591831710224,2.772
58.0,5.0064,4.637040721075481,2.868
59.0,4.85184,2.579128472290331,2.76
60.0,6.39744,3.8995698448441907,2.82
61.0,6.474720000000002,2.401246329008988,2.772
62.0,6.7065600000000005,3.2807865166036554,2.784
